id,address,category,quantity,area,price_eur,date_collected,notes,longitude,latitude
1,Industrieweg 64,hospital,n/a,1860.2 m2,10395.0,3.4.2017,,5.136565,52.081734
2,Dorpsstraat 273,SCHOOL,20,2823.3 m2,2509.59,04-09-2017,,5.104237,52.069874
3,Parklaan 40,school,22,3660.8 m2,19613.41,25.6.2018,Grond in slechte staat,5.102527,52.089734
4,Stationsplein 87,Retail,4,3669.2 m2,11769.95,23-07-2021,NÃ¤he Bahnhof,5.069401,52.069809
5,Molenweg 78,retail,18,47605.5 ft2,17347.7,2022-11-12,Ã‚Â good condition,5.077351,52.072554
6,Dorpsstraat 54,shool,33,4753.6 m2,14925.8,28.11.2024,NÃ¤he Bahnhof,5.081314,52.062984
7,Dorpsstraat 239,hospital,24,3088.0 m2,4555.08,12.10.2021,NÃ¤he Bahnhof,5.101395,52.071181
8,Stationsplein 115,SCHOOL,35,49244.8 ft2,6312.75,05/28/2024,Grond in slechte staat,5.141984,52.113072
9,Parklaan 179,school,34,2489.3 m2,19797.27,12/07/2025,NÃ¤he Bahnhof,5.120512,52.077019
10,  Parklaan 171  ,retail,42,1752.8 m2,16775.65,2023-04-23,Near station,5.110208,52.125744
11,Parklaan 53,,42,8327.0 ft2,19615.97,,Ã‚Â good condition,5.079221,52.119913
12,  Industrieweg 262  ,park ,35,2124.1 m2,18245.33,2022-09-19,NÃ¤he Bahnhof,5.166406,52.061984
13,Kerkstraat 227,School,36,26245.6 ft2,17722.94,2.2.2024,,5.15391,52.086188
14,Dorpsstraat 38,warehouse,17,49705.5 ft2,4450.48,13-08-2021,Renovated in 2019,5.073167,52.10729
15,STATIONSPLEIN 48,HOSPITAL,26,4430.4 m2,13522.74,17.7.2021,,5.155473,52.080748
16,Industrieweg 293,Hospital,7,466.1 m2,18165.02,27.7.2020,Grond in slechte staat,5.153231,52.084025
17,Molenweg 57,park,5,1359.0 m2,725.15,09-10-2018,NÃ¤he Bahnhof,5.096799,52.0744
18,Dorpsstraat 260,HOSPITAL,3,126.0 m2,11245.46,15.2.2022,NÃ¤he Bahnhof,5.174843,52.106538
19,Kerkstraat 236,retail,,33863.2 ft2,8899.44,2020-09-13,Renovated in 2019,5.194268,52.12781
20,Dorpsstraat 12,shool,6,2399.5 m2,-4419.11,9.2.2018,Renovated in 2019,5.129378,52.110043
21,Industrieweg 292,warehouse ,40,3233.9 m2,16788.15,2024-12-24,Near station,5.183924,52.104632
22,KERKSTRAAT 243,School,29,2814.7 m2,12711.42,01-08-2017,Grond in slechte staat,5.163466,52.068459
23,Kerkstraat 249,,3,3104.0 m2,2010.7,,Near station,5.123442,52.10671
24,Molenweg 39,Retail,6,4684.5 m2,9449.93,2022-05-15,,5.103933,52.098269
25,  Kerkstraat 170  ,hospital,32,2000.7 m2,19024.21,03/24/2022,Ã‚Â good condition,5.18896,52.107042
26,Dorpsstraat 262,Hospital,24,49845.5 ft2,17157.98,2018-05-22,Ã‚Â good condition,5.171794,52.100472
27,Stationsplein 134,,49,7921.2 ft2,9968.71,08/06/2022,Ã‚Â good condition,5.109155,52.063387
28,Industrieweg 104,school ,49,2277.3 m2,4251.94,06/03/2019,Ã‚Â good condition,5.161876,52.0668
29,  Kerkstraat 66  ,parc,41,42646.6 ft2,2305.66,08/21/2022,Ã‚Â good condition,5.123474,52.055851
30,MOLENWEG 120,warehouse,10,802.7,2623.36,,Near station,5.069195,52.070144
31,  Industrieweg 127  ,park ,15,3962.9 m2,10980.79,11.11.2019,Near station,5.053268,52.089865
